,date,tic,open,high,low,close,volume,avgvol_50,sma_10,sma_50,sma_100,sma_200,wma_50,rsi_14,volatility_30,volatility_100,stddev_30,dmi_14,adx_14,macd,atr_14
8606,1988-08-15,ABT.US,44.8758,44.8758,44.0008,1.1295,7192679.0,9468673.78,1.1692,1.1504,1.1617,1.1838,1.1537,41.4354,0.0004,0.0015,0.0208349347424753,20.8009,14.8851,0.0009,0.8205
8614,1988-08-15,MRK.US,54.6251,54.8747,53.7498,2.7931,2392584.0,4931955.04,2.8803,2.8537,2.7722,2.7662,2.8522,42.9093,0.0034,0.0121,0.0571865807301742,31.7876,39.2041,-0.0019,1.2706
8615,1988-08-15,PFE.US,47.6016,48.1944,47.6016,0.7214,4843200.0,9784463.7164,0.7348,0.7386,0.7578,0.7455,0.7339,43.952,0.0001,0.0013,0.0113688796984722,1.0221,10.2825,-0.0029,0.9144
8619,1988-08-16,ABT.US,44.1255,45.4996,43.7495,1.1519,11653352.0,9130567.96,1.166,1.1506,1.1611,1.1833,1.1538,48.9169,0.0004,0.0015,0.0204070492401244,7.4016,14.3505,0.0004,0.8869
8627,1988-08-16,MRK.US,54.0001,55.3753,53.7498,2.8319,5271230.0,4969255.44,2.8674,2.8531,2.7723,2.7649,2.8514,48.0208,0.0033,0.0121,0.0572407781266214,23.9833,38.1169,-0.0031,1.2959
8628,1988-08-16,PFE.US,47.9568,48.9048,47.484,0.7268,7336800.0,9832319.715,0.7329,0.738,0.7572,0.7454,0.7334,46.9542,0.0001,0.0013,0.0112546903160549,11.0571,10.3378,-0.0029,0.9505
8632,1988-08-17,ABT.US,45.0006,45.4996,44.7493,1.1519,13137867.0,8983435.26,1.1605,1.1511,1.1609,1.1827,1.1539,48.9169,0.0004,0.0015,0.0203654897750413,7.4016,13.8542,0.0001,0.8772
8640,1988-08-17,MRK.US,55.2501,55.4998,54.8747,2.8512,3464688.0,4960326.48,2.8538,2.8536,2.7732,2.7639,2.8513,50.3997,0.0033,0.0121,0.0563633813714666,22.0475,36.9691,-0.0024,1.2569
8641,1988-08-17,PFE.US,48.4308,48.6672,48.0756,0.7339,8462400.0,9846815.7144,0.7302,0.7378,0.7565,0.7451,0.7333,50.6939,0.0001,0.0013,0.0106673668691442,11.0571,10.3892,-0.0023,0.9334
8645,1988-08-18,ABT.US,44.8758,46.0004,44.8758,1.1679,6606358.0,8766870.74,1.158,1.1515,1.1609,1.1822,1.1545,53.8054,0.0004,0.0015,0.02047187202541,2.6521,13.054,0.0011,0.8948
8653,1988-08-18,MRK.US,55.4998,56.3751,55.3753,2.89,6409358.0,4923768.04,2.8454,2.8536,2.7746,2.7635,2.8527,54.8713,0.0033,0.0123,0.0568843619526092,9.1453,34.9817,0.0013,1.2564
8654,1988-08-18,PFE.US,48.5496,49.1412,48.1944,0.7357,8625600.0,9789167.716,0.7286,0.7374,0.7559,0.7449,0.7332,51.625,0.0001,0.0013,0.0100343281755922,18.5896,10.9749,-0.0017,0.9343
8658,1988-08-19,ABT.US,45.8756,46.0004,45.4996,1.1679,3453769.0,8408234.78,1.1561,1.1519,1.1607,1.1818,1.1552,53.8054,0.0004,0.0014,0.0205437058525497,2.6521,12.311,0.0019,0.8667
8666,1988-08-19,MRK.US,56.1248,56.7498,55.4998,2.8965,5092651.0,4814344.26,2.8415,2.8534,2.7761,2.763,2.8544,55.5935,0.0034,0.0124,0.0574938031316696,4.0732,32.7739,0.0047,1.256
8667,1988-08-19,PFE.US,49.1412,49.26,48.9048,0.7447,5587200.0,9679151.7192,0.7295,0.737,0.7554,0.7448,0.7335,56.09,0.0001,0.0013,0.0100343281755922,20.409,11.6488,-0.0005,0.9183
8671,1988-08-22,ABT.US,45.6244,45.6244,44.8758,1.1519,4508790.0,8106341.84,1.1545,1.1521,1.1603,1.1813,1.1552,48.4303,0.0004,0.0014,0.0205520480862882,9.5758,12.1157,0.0012,0.8583
8679,1988-08-22,MRK.US,55.8752,55.8752,54.8747,2.8448,4696507.0,4802749.18,2.8364,2.8527,2.7776,2.7617,2.8541,48.8912,0.0033,0.0124,0.0570980222207324,11.465,31.2519,0.0032,1.2467
8680,1988-08-22,PFE.US,48.312,49.26,48.312,0.7322,7730400.0,9655343.72,0.7293,0.7365,0.7547,0.7446,0.7333,49.2858,0.0001,0.0013,0.0100358960316021,7.4992,11.3524,-0.0005,0.9205
8684,1988-08-23,ABT.US,44.8758,45.3747,44.4998,1.1583,4325231.0,7992570.62,1.1535,1.1524,1.1601,1.1811,1.1554,50.558,0.0004,0.0014,0.0204897375393849,16.0658,12.3978,0.0011,0.8594
