,date,tic,open,high,low,close,volume,avgvol_50,sma_10,sma_50,sma_100,sma_200,wma_50,rsi_14,volatility_30,volatility_100,stddev_30,dmi_14,adx_14,macd,atr_14
8541,1988-08-08,ABT.US,46.3745,46.7507,45.3747,1.1679,4817099.0,11030853.82,1.1644,1.1535,1.1666,1.1843,1.1541,52.9599,0.0004,0.0018,0.0210592677352329,5.4886,17.0198,0.0091,0.8526
8549,1988-08-08,MRK.US,57.0001,57.2497,55.75,2.8965,4803403.0,5315774.56,2.8984,2.8502,2.7692,2.7656,2.8609,53.7953,0.0032,0.0121,0.0554836781692074,22.1944,41.0415,0.0316,1.3369
8550,1988-08-08,PFE.US,48.4308,48.6672,47.7204,0.7339,10764000.0,9650591.7206,0.7372,0.7411,0.761,0.745,0.7371,48.4879,0.0001,0.0013,0.0108487395988886,1.2257,12.0901,0.0011,0.9446
8554,1988-08-09,ABT.US,45.8756,46.0004,45.2501,1.1679,11649788.0,11175634.12,1.1682,1.1539,1.1658,1.1842,1.1547,52.9599,0.0004,0.0018,0.0208360294890827,3.1255,16.0274,0.0084,0.8453
8562,1988-08-09,MRK.US,56.1248,56.1248,54.7502,2.8512,7709717.0,5379383.98,2.9036,2.855,2.7705,2.766,2.861,48.1483,0.0031,0.0121,0.0554869207713939,30.1291,40.262,0.0253,1.3396
8563,1988-08-09,PFE.US,47.8392,48.6672,47.2464,0.725,14330400.0,9835919.7152,0.7372,0.7411,0.7603,0.745,0.7365,44.6571,0.0001,0.0013,0.0109539780808638,7.8206,11.7851,-0.0001,0.9786
8567,1988-08-10,ABT.US,45.4996,45.6244,44.6246,1.1487,5977266.0,11150933.78,1.1717,1.1533,1.1646,1.1845,1.1545,46.8762,0.0004,0.0017,0.0207233383744485,8.0144,15.455,0.0063,0.8563
8575,1988-08-10,MRK.US,55.125,55.4998,53.6247,2.7801,7810954.0,5359991.8,2.9036,2.8557,2.7709,2.7668,2.858,40.8926,0.0033,0.0121,0.0564088324535449,37.8171,40.0874,0.0144,1.3778
8576,1988-08-10,PFE.US,47.6016,48.312,47.3652,0.7214,16060800.0,10006031.7102,0.7377,0.7406,0.7596,0.7454,0.7357,43.1713,0.0001,0.0013,0.0111385317101334,7.8206,11.502,-0.0012,0.9763
8580,1988-08-11,ABT.US,44.8758,45.2501,44.6246,1.1551,4387606.0,10818103.08,1.174,1.1516,1.1636,1.1845,1.1546,48.9801,0.0004,0.0016,0.0206382937166282,8.0144,14.9235,0.005,0.8399
8588,1988-08-11,MRK.US,54.1252,54.5,53.6247,2.8124,5573683.0,5171452.4,2.9023,2.8552,2.7719,2.7671,2.8563,44.9511,0.0033,0.0121,0.0568746596426677,37.8171,39.9252,0.0083,1.3419
8589,1988-08-11,PFE.US,48.1944,48.312,47.484,0.7304,7874400.0,9746303.7176,0.7384,0.7398,0.7591,0.7455,0.7353,47.8433,0.0001,0.0013,0.0111302374289017,7.8206,11.239,-0.0014,0.9657
8593,1988-08-12,ABT.US,44.8758,45.0006,44.7493,1.1519,3721089.0,10552209.2,1.1737,1.1507,1.1627,1.1843,1.1546,47.9574,0.0004,0.0015,0.0204128038209724,8.0144,14.43,0.0037,0.8067
8601,1988-08-12,MRK.US,54.2497,54.5,54.0001,2.8124,2230982.0,5022439.36,2.8945,2.8549,2.7725,2.7674,2.8547,44.9511,0.0033,0.0121,0.0572149311410357,37.8171,39.7746,0.0035,1.2818
8602,1988-08-12,PFE.US,47.6016,47.8392,47.6016,0.7214,8832000.0,9818831.7154,0.7368,0.7392,0.7584,0.7456,0.7346,43.952,0.0001,0.0013,0.0112740001829372,7.8206,10.9948,-0.0022,0.9391
